no,이름,서식지,등급,별등급,중량,판매가,숙련도,크기기본,크기편차,설명
1,쓰레기,강/민물,R0,☆☆☆☆☆,1,0,1,1,1,누가 강에 쓰레기를 버린거야? - 지나가는 아카데미생
2,헐어버린 장화,강/민물,R0,☆☆☆☆☆,1,0,1,20,5,물 속에 오래 방치되었던 장화. 제 기능을 잃어버린 지 오래다.
3,휴지조각,강/민물,R0,☆☆☆☆☆,1,0,1,5,5,더럽다. 또한 더럽다.
4,깨진 유리 조각,강/민물,R0,☆☆☆☆☆,1,0,1,3,5,날카롭다. 손이 베이지 않도록 조심하자.
5,나무 판자,강/민물,R0,☆☆☆☆☆,2,0,1,50,15,무겁다. 어떻게 물고기와 착각할 수 있었는지 의문이 든다.
6,붉은 파편,강/민물,R0,☆☆☆☆☆,1,5,1,3,5,"물고기는 아니지만, 예쁘다."
7,푸른 파편,강/민물,R0,☆☆☆☆☆,1,5,1,3,5,"물고기는 아니지만, 예쁘다."
43,바닷빛 정수,바다,R0,☆☆☆☆☆,1,30,1,3,5,바다의 마력이 모인 정수. 거창한 이름에 비해 딱히 희귀하진 않다.
61,찢어진 그물,바다,R0,☆☆☆☆☆,1,5,1,3,5,바다생물들에게 극도로 위험한 물건. 하나의 바다 친구를 살렸다고 생각하자.
8,블루길,강/민물,R1,★☆☆☆☆,1,1,2,10,20,아가미 옆의 푸른 점 때문에 블루길이라고 불린다.
9,배스,강/민물,R1,★☆☆☆☆,1,4,3,50,30,어떤 사람은 이 생선으로 온갖 요리를 다 만들어 먹는다고 한다.
10,잉어,강/민물,R1,★☆☆☆☆,1,3,2,20,70,명실상부 민물고기 요리의 왕. 보는 것만으로 침이 흐른다.
11,미꾸라지,강/민물,R1,★☆☆☆☆,1,3,2,5,3,한 마리로 맑은 물을 충분히 흐릴 수 있다.
12,송어,강/민물,R1,★☆☆☆☆,1,3,4,20,20,"송송송, 송어 왔어요~"
13,피루루크,강/민물,R1,★☆☆☆☆,2,4,5,150,50,"이 정도 크기라면, 바다에서 사는 편이 행복할텐데. - 어떤 낚시꾼"
14,준치,강/민물,R1,★☆☆☆☆,1,2,3,15,15,썩어도 이 녀석이다.
15,향어,강/민물,R1,★☆☆☆☆,1,4,3,50,30,향어라고 해서 좋은 향이 나진 않는다.
16,연어,강/민물,R1,★☆☆☆☆,1,5,4,60,20,"흐르는 강물을 거꾸로 거슬러 오르는, 야들야들한 식감의 대표주자."
17,틸라피아,강/민물,R1,★☆☆☆☆,1,4,3,50,30,"먹지 마세요, 수조에 양보하세요."
42,유황어,강/민물,R1,★☆☆☆☆,1,10,5,15,5,유황 성분을 먹고 자란다고 전해져 온천어라고도 불린다. 이걸 낚았다는건...
