no,이름,등급,별등급,중량,판매가,숙련도,크기기본,크기편차,설명
1,쐐기풀,R0,☆☆☆☆☆,1,0,1,1,1,잎에 닿으면 따끔거린다. 딱히 쓸모는 없다.
2,낙엽,R0,☆☆☆☆☆,1,0,1,20,5,나무에서 떨어진 나뭇잎. 땅에 수북히 있다.
3,광대버섯,R0,☆☆☆☆☆,1,0,1,5,5,"알록달록 예쁘지만, 독이 들어있다. 식용으로도 약용으로도 부적합하다."
4,덩굴손,R0,☆☆☆☆☆,1,0,1,3,5,덩굴들이 얽히고 섥힌 것. 쓸모는 없다.
5,쓰레기 더미,R0,☆☆☆☆☆,2,0,1,50,15,당신의 봉사활동 정신에 감사를 표합니다. - 아카데미 환경미화부
8,겨우살이,R1,★☆☆☆☆,1,3,2,10,20,나무에서 자라는 나무. 약용으로 많이 쓰인다.
9,도라지,R1,★☆☆☆☆,1,7,3,50,30,씹으면 단 맛과 함께 아린 맛이 난다. 호불호가 심한 식물.
10,감초,R1,★☆☆☆☆,1,5,2,20,70,영원히 주인공이 될 수 없는 비운의 약재
11,산나물,R1,★☆☆☆☆,1,8,2,5,3,입에 넣고 씹으면 향긋함이 입 안을 가득 채운다.
12,천리향,R1,★☆☆☆☆,1,5,4,20,20,그 향기가 천 리 너머까지 퍼진다고 하여 천리향이라는 이름이 붙었다.
13,영지버섯,R1,★☆☆☆☆,2,7,5,150,50,그것은 버섯이라기엔 너무 컸다.
14,은방울꽃,R1,★☆☆☆☆,1,5,3,15,15,독성과 함께 미약한 마력을 품고 있다. 좋은 향이 난다.
15,더덕,R1,★☆☆☆☆,1,4,6,50,30,구워 먹으면 고기 맛이 난다. 더덕 잎은 산삼과 비슷하니 헷갈리지 않도록 하자.
16,산딸기,R1,★☆☆☆☆,1,5,5,60,20,상큼한 맛이 일품인 열매. 보통은 꿀이나 설탕에 절여서 먹는다.
43,반딧풀,R1,★☆☆☆☆,1,10,15,10,5,프레넬 숲에서 특별한 절기에만 채집할 수 있는 반짝이는 풀.
18,산삼,R2,★★☆☆☆,1,20,8,70,15,"먹으면 기운이 솟는다. 물론, 마력이 회복되는 것은 아니라고."
19,동충하초,R2,★★☆☆☆,1,15,10,8,2,곤충의 몸에서 자라나는 희귀한 버섯. 사람의 몸에는 기생하지 않으니 안심해도 좋다.
20,발광이끼,R2,★★☆☆☆,1,12,8,60,20,어두운 곳에서 빛을 내는 이끼. 희미하게나마 마력을 품고 있다.
21,하수오,R2,★★☆☆☆,2,14,10,100,30,"묵직하고 덩어리진 뿌리를 가진 약재. 소문에 따르면, 만년동안 묵은 하수오는 엄청난 마력을 품고 있다고 한다."
22,백양초,R2,★★☆☆☆,1,16,10,60,10,일년 내내 볕이 드는 곳에서만 자란다는 약초. 하급 포션의 촉매로 사용된다.
23,푸른 장미,R2,★★☆☆☆,1,18,5,60,20,푸른 꽃잎을 가진 장미. 꽃잎에 마력을 품고 있다.
39,락 후르츠,R2,★★☆☆☆,1,15,15,60,10,"바위처럼 단단한 껍질을 가진 열매. 껍질은 약재로, 과육은 식용으로 쓰인다. 부드러운 맛이 일품이다."
40,오뎅 씨앗,R2,★★☆☆☆,1,18,15,60,10,뭐? 오뎅을 심은 곳에서 오뎅이 자란다고? - 오늘 막 소환된 어션.
24,우담바라,R3,★★★☆☆,2,30,70,200,50,영력이 강하게 모이는 곳에서만 피어난다는 꽃. 마법 재료로 쓰인다.
25,맨드레이크,R3,★★★☆☆,1,35,65,20,50,야!!! 풀 짖는 소리 좀 안 나게 해라! - 어느 난폭한 시민.
26,헤븐 베리,R3,★★★☆☆,1,28,50,30,20,천국에서 맡을 수 있을 법한 달콤한 향을 풍기는 과실. 식도락가들 사이에서 비싼 값에 거래된다.
27,마력이 깃든 나뭇가지,R3,★★★☆☆,1,26,55,10,10,마력이 가득한 장소에 자라난 나무에서 채취한 나뭇가지. 매직 아이템의 재료로 많이 사용된다.
28,유령손,R3,★★★☆☆,1,32,60,80,30,유령의 손을 닮은 형태의 버섯. 달이 뜨지 않는 밤에만 자라난다.
41,드래곤 플라워,R3,★★★☆☆,1,34,100,80,30,드래곤이 입을 벌리고 있는 형상을 닮은 꽃. 강력한 마력을 품고 있다.
42,황금 반딧풀,R3,★★★☆☆,1,60,300,10,5,"반딧풀 중에 굉장히 희소한 확률로 등장하는 황금빛 반딧풀, 굉장히 비싸게 팔린다."
44,메리골드,R3,★★★☆☆,1,40,150,10,5,언젠가 찾아올 행복. 노란 희망의 부름.
29,멜리노아,R4,★★★★☆,1,500,1000,80,20,"누가 가공하는지에 따라서 끔찍한 악몽도, 행복한 꿈도 꿀 수 있게 한다는 환상의 식물. 무슨 원리로 꿈을 조종할 수 있는지는 불명이다."
30,마카리에,R4,★★★★☆,1,500,1500,80,20,꿈조차 꾸지 못할 정도의 깊은 잠을 선사한다는 식물. 휴식이 간절히 필요한 사람만이 찾을 수 있다고 전해진다.
31,스타더스트,R4,★★★★☆,1,550,1000,80,20,"별이 비치는 고요한 수면 근처에서만 피어난다는 꽃. 빛의 마력을 품고 있어, 마법 재료로 사용된다."
32,속삭임나무,R4,★★★★☆,2,750,1500,150,50,"무슨 소리야, 친구. 나무가 속삭일리가 없잖아. - 어느 베테랑 모험가."
33,죽음의 나팔,R4,★★★★☆,1,600,1000,80,20,"마력을 품은 동물의 사체 위에서만 자라나는 버섯. 어둠의 마력을 가득 품고 있어, 마법 재료로 사용된다."
45,물망울 꽃,R4,★★★★☆,1,1000,2000,80,20,마력을 갖추어 물망울의 형태가 유지되는 꽃. 굉장히 보기 드물어 희소 재료가 되기도 한다.
34,홍옥과,R5,★★★★★,1,3000,5000,20,5,"마치 붉은 보석과 같은 외형의 열매. 특정 나무에서 자라는 것이 아닌, 정령의 축복을 받은 열매가 홍옥과로 변하는 것이라는 연구 결과가 있다."
35,휘드로시아,R5,★★★★★,2,3500,6000,150,50,"세상의 모든 원소와 성질을 담고 있다고 전해지는 전설의 식물. 어디서, 어떻게 채집해야 하는지조차 알려진 것이 없다."
36,몰리,R5,★★★★★,1,3000,5000,10,3,이승과 저승의 경계가 맞닿은 곳에서만 자란다는 꽃. 검은 뿌리와 하얀 꽃을 가지고 있다.
37,에버스프링,R5,★★★★★,1,3000,5000,10,3,"아에마의 은혜를 듬뿍 받으며 자라나는 식물. 바구니 모양으로 엮인 잎에 담긴 이슬을 마시면, 하루동안 무한의 마력을 다룰 수 있다는 이야기가 전해진다."
