레시피ID	이름	분류	등급	필요시설	재료	결과	판매가	중량	효과	지속	숙련도	태그	공개
cook_boiled_egg	삶은 달걀	간단요리	R1	공용 주방	달걀x1, 물x1	삶은 달걀x1	10	1	피로도 5 회복	즉시	1	피로도,회복	FALSE
cook_milk_porridge	우유죽	간단요리	R1	공용 주방	우유x1, 밀x1, 물x1	우유죽x1	10	1	피로도 8 회복	즉시	1	피로도,회복	FALSE
cook_vegetable_soup	채소 수프	간단요리	R1	공용 주방	채소x1, 물x1, 소금x1	채소 수프x1	20	1	피로도 10 회복	즉시	2	피로도,회복	FALSE
cook_fruit_milk	과일 우유	간단요리	R1	공용 주방	과일x1, 우유x1	과일 우유x1	50	1	30분 동안 채집 행운 +2	30분	2	생활행운,채집	FALSE
cook_flatbread	납작빵	간단요리	R1	공용 주방	밀x1, 물x1, 소금x1	납작빵x1	20	1	피로도 10 회복	즉시	2	피로도,회복	FALSE
cook_cheese_bread	치즈빵	간단요리	R1	공용 주방	밀x1, 치즈x1, 물x1	치즈빵x1	30	1	피로도 15 회복	즉시	3	피로도,회복	FALSE
cook_herb_salad	산나물 샐러드	채집요리	R1	공용 주방	산나물x1, 채소x1, 소금x1	산나물 샐러드x1	50	1	30분 동안 채집 행운 +3	30분	3	생활행운,채집	FALSE
cook_bellflower_tea	도라지 차	채집요리	R1	공용 주방	도라지x1, 물x1	도라지 차x1	80	1	세션 버프: 감지 판정 +1	다음 세션	3	세션버프,판정	FALSE
cook_deodeok_grill	더덕구이	채집요리	R1	공용 주방	더덕x1, 소금x1	더덕구이x1	30	1	피로도 12 회복	즉시	3	피로도,회복	FALSE
cook_strawberry_jam	산딸기 잼	채집요리	R1	공용 주방	산딸기x2, 물x1	산딸기 잼x1	50	1	30분 동안 채집 행운 +3	30분	4	생활행운,채집	FALSE
cook_licorice_milk	감초 우유	채집요리	R1	공용 주방	감초x1, 우유x1	감초 우유x1	40	1	피로도 15 회복	즉시	4	피로도,회복	FALSE
cook_mistletoe_tea	겨우살이 차	채집요리	R1	공용 주방	겨우살이x1, 물x1	겨우살이 차x1	80	1	세션 버프: 정신 판정 +1	다음 세션	4	세션버프,판정	FALSE
cook_bass_grill	소금 배스구이	생선요리	R1	공용 주방	배스x1, 소금x1	소금 배스구이x1	50	1	30분 동안 낚시 행운 +3	30분	3	생활행운,낚시	FALSE
cook_carp_soup	잉어 맑은탕	생선요리	R1	공용 주방	잉어x1, 물x1, 소금x1	잉어 맑은탕x1	30	2	피로도 12 회복	즉시	3	피로도,회복	FALSE
cook_mudfish_soup	미꾸라지탕	생선요리	R1	공용 주방	미꾸라지x1, 채소x1, 물x1	미꾸라지탕x1	80	2	세션 버프: 근력 판정 +1	다음 세션	4	세션버프,판정	FALSE
