"레시피ID","이름","분류","등급","필요시설","재료","결과","효과","지속","숙련도","태그","공개","판매가","원가","이윤","이윤율","","","","","","","","","",""
"basic_salted_bread","소금빵","기본요리","R1","공용 주방","밀x1, 소금x1, 물x1","소금빵","메이저, HP 1D회복","즉시","5","피로도,빵","FALSE","58","55","3","5.5%","","","","","","","","","",""
"basic_vegetable_soup","채소 수프","기본요리","R1","공용 주방","채소x1, 물x1, 소금x1","채소 수프","메이저, MP 1D회복","즉시","6","피로도,수프","FALSE","48","45","3","6.7%","","","","","","","","","",""
"cook_boiled_egg","삶은 달걀","간단요리","R1","공용 주방","달걀x1, 물x1","삶은 달걀x1","메이저, HP 1D회복","즉시","1","피로도,회복","FALSE","18","15","3","20.0%","","","","","","","","","",""
"cook_milk_porridge","우유죽","간단요리","R1","공용 주방","우유x1, 밀x1, 물x1","우유죽x1","메이저, HP 1D회복","즉시","1","피로도,회복","FALSE","38","35","3","8.6%","","","","","","","","","",""
"cook_vegetable_soup","채소 수프","간단요리","R1","공용 주방","채소x1, 물x1, 소금x1","채소 수프x1","메이저, MP 1D회복","즉시","2","피로도,회복","FALSE","48","45","3","6.7%","","","","","","","","","",""
"cook_fruit_milk","과일 우유","간단요리","R1","공용 주방","과일x1, 우유x1","과일 우유x1","시나리오 종료 시 까지 지속. 물리 방어력 +1 버프","세션","2","버프,물리방어","FALSE","23","20","3","15.0%","","","","","","","","","",""
"cook_flatbread","납작빵","간단요리","R1","공용 주방","밀x1, 물x1, 소금x1","납작빵x1","메이저, HP 1D회복","즉시","2","피로도,회복","FALSE","58","55","3","5.5%","","","","","","","","","",""
"basic_omelet","폭신한 오믈렛","기본요리","R1","공용 주방","달걀x1, 우유x1, 소금x1","폭신한 오믈렛","시나리오 종료 시 까지 지속. 최대 HP +2, 최대 MP +2 증가 버프","세션","8","세션버프,HPMP","FALSE","53","50","3","6.0%","","","","","","","","","",""
"basic_cheese_toast","치즈 토스트","기본요리","R1","공용 주방","밀x1, 치즈x1","치즈 토스트","시나리오 종료 시 까지 지속. 마법 방어력 +1 버프","세션","8","버프,마법방어","FALSE","73","70","3","4.3%","","","","","","","","","",""
"basic_meat_skewer","소금 고기꼬치","기본요리","R1","공용 주방","고기x1, 소금x1","소금 고기꼬치","시나리오 종료 시 까지 지속. 공격력 +1 증가 버프","세션","8","세션버프,공격","FALSE","43","40","3","7.5%","","","","","","","","","",""
"basic_fruit_milk","과일 우유","기본요리","R1","공용 주방","과일x1, 우유x1","과일 우유","메이저, MP 1D회복","즉시","7","피로도,음료","FALSE","23","20","3","15.0%","","","","","","","","","",""
"basic_meat_soup","고기 수프","기본요리","R1","공용 주방","고기x1, 채소x1, 물x1","고기 수프","메이저, HP 1D회복","즉시","8","피로도,수프","FALSE","28","25","3","12.0%","","","","","","","","","",""
"basic_green_salad","상큼한 샐러드","생활요리","R1","공용 주방","채소x1, 과일x1, 소금x1","상큼한 샐러드","근력 +1 증가","30분","8","버프,근력","FALSE","53","50","3","6.0%","","","","","","","","","",""
"basic_spiced_meat","향신료 구이","기본요리","R1","공용 주방","고기x1, 향신료x1, 소금x1","향신료 구이","시나리오 종료 시 까지 지속. 근력 +1 증가 버프","세션","10","세션버프,근력","FALSE","93","90","3","3.3%","","","","","","","","","",""
"cook_cheese_bread","치즈빵","간단요리","R1","공용 주방","밀x1, 치즈x1, 물x1","치즈빵x1","메이저, HP 2D회복","즉시","3","피로도,회복","FALSE","78","75","3","4.0%","","","","","","","","","",""
"cook_herb_salad","산나물 샐러드","채집요리","R1","공용 주방","산나물x1, 채소x1, 소금x1","산나물 샐러드x1","재주 +1 증가","30분","3","버프,재주","FALSE","47","44","3","6.8%","","","","","","","","","",""
"cook_bellflower_tea","도라지 차","채집요리","R1","공용 주방","도라지x1, 물x1","도라지 차x1","민첩 +1 증가","30분","3","버프,민첩","FALSE","19","11","8","72.7%","","","","","","","","","",""
"cook_deodeok_grill","더덕구이","채집요리","R1","공용 주방","더덕x1, 소금x1","더덕구이x1","메이저, MP 1D회복","즉시","3","피로도,회복","FALSE","46","38","8","21.1%","","","","","","","","","",""
"cook_strawberry_jam","산딸기 잼","채집요리","R1","공용 주방","산딸기x2, 물x1","산딸기 잼x1","감지 +1 증가","30분","4","버프,감지","FALSE","31","21","10","47.6%","","","","","","","","","",""
