no,이름,서식지,등급,별등급,중량,판매가,숙련도,크기기본,크기편차,설명
1,쓰레기,강/민물,R0,☆☆☆☆☆,1,0,1,1,1,누가 강에 쓰레기를 버린거야? - 지나가는 모험가
2,헐어버린 장화,강/민물,R0,☆☆☆☆☆,1,0,1,20,5,물 속에 오래 방치되었던 장화. 제 기능을 잃어버린 지 오래다.
3,휴지조각,강/민물,R0,☆☆☆☆☆,1,0,1,5,5,더럽다. 또한 더럽다.
4,깨진 유리 조각,강/민물,R0,☆☆☆☆☆,1,0,1,3,5,날카롭다. 손이 베이지 않도록 조심하자.
5,나무 판자,강/민물,R0,☆☆☆☆☆,2,0,1,50,15,무겁다. 어떻게 물고기와 착각할 수 있었는지 의문이 든다.
6,붉은 파편,강/민물,R0,☆☆☆☆☆,1,5,1,3,5,"물고기는 아니지만, 예쁘다."
7,푸른 파편,강/민물,R0,☆☆☆☆☆,1,5,1,3,5,"물고기는 아니지만, 예쁘다."
61,썩은 나뭇조각,강/민물,R0,☆☆☆☆☆,1,0,1,10,2,물에 오랫동안 떠다니며 속까지 썩어버린 나무. 금방이라도 부스러질 것 같다.
62,녹슨 철 조각,강/민물,R0,☆☆☆☆☆,2,0,1,15,5,잔뜩 녹이 슨 무거운 금속 조각. 원형을 알아보기 힘들다.
63,한 입 베어문 생선,강/민물,R0,☆☆☆☆☆,1,0,1,5,2,"머리만 떨어져 나간 생선. 이 상태로 오래 방치된 것인지, 썩은 내가 난다."
43,바닷빛 정수,바다,R0,☆☆☆☆☆,1,30,1,3,5,바다의 마력이 모인 정수. 거창한 이름에 비해 딱히 희귀하진 않다.
61,찢어진 그물,바다,R0,☆☆☆☆☆,1,5,1,3,5,바다생물들에게 극도로 위험한 물건. 하나의 바다 친구를 살렸다고 생각하자.
8,블루길,강/민물,R1,★☆☆☆☆,1,1,2,10,20,아가미 옆의 푸른 점 때문에 블루길이라고 불린다.
9,배스,강/민물,R1,★☆☆☆☆,1,4,3,50,30,어떤 사람은 이 생선으로 온갖 요리를 다 만들어 먹는다고 한다.
10,잉어,강/민물,R1,★☆☆☆☆,1,3,2,20,70,명실상부 민물고기 요리의 왕. 보는 것만으로 침이 흐른다.
11,미꾸라지,강/민물,R1,★☆☆☆☆,1,3,2,5,3,한 마리로 맑은 물을 충분히 흐릴 수 있다.
12,송어,강/민물,R1,★☆☆☆☆,1,3,4,20,20,"송송송, 송어 왔어요~"
13,피루루크,강/민물,R1,★☆☆☆☆,2,4,5,150,50,"이 정도 크기라면, 바다에서 사는 편이 행복할텐데. - 어떤 낚시꾼"
14,준치,강/민물,R1,★☆☆☆☆,1,2,3,15,15,썩어도 이 녀석이다.
15,향어,강/민물,R1,★☆☆☆☆,1,4,3,50,30,향어라고 해서 좋은 향이 나진 않는다.
16,연어,강/민물,R1,★☆☆☆☆,1,5,4,60,20,"흐르는 강물을 거꾸로 거슬러 오르는, 야들야들한 식감의 대표주자."
17,틸라피아,강/민물,R1,★☆☆☆☆,1,4,3,50,30,"먹지 마세요, 수조에 양보하세요."
42,유황어,강/민물,R1,★☆☆☆☆,1,10,5,15,5,유황 성분을 먹고 자란다고 전해져 온천어라고도 불린다. 이걸 낚았다는건...
64,붕어,강/민물,R1,★☆☆☆☆,1,4,3,20,20,특유의 흙 냄새만 잘 제거하면 뛰어난 맛을 자랑하는 물고기. 강 어귀에 흔히 보인다.
65,쏘가리,강/민물,R1,★☆☆☆☆,1,4,3,20,20,"맹한 생김새 때문에 우스워보이지만, 이래뵈도 생태계 최상위 포식자이다."
66,모래무지,강/민물,R1,★☆☆☆☆,1,4,3,20,20,모래장난을 좋아한다고 알려진 생선. 주로 강 바닥에 붙어 일생을 보낸다.
67,카라신,강/민물,R1,★☆☆☆☆,1,4,3,20,20,배 뒤쪽에서 꼬리로 이어지는 특징적인 붉은 무늬가 상징인 물고기. 주로 관상어로 쓰인다.
68,여울각시,강/민물,R1,★☆☆☆☆,1,4,3,20,20,물살이 빠른 곳에만 서식하는 물고기. 쉬리라고도 불린다.
69,가물치,강/민물,R1,★☆☆☆☆,1,4,3,20,20,"명실상부한 생태계 최상위 포식자. 물론, 이 세계에서는 더한 괴물들이 많기에 그 정도의 위상을 가지진 못한다."
70,등목어,강/민물,R1,★☆☆☆☆,1,4,3,20,20,튼튼한 지느러미와 비늘을 이용해 뭍으로 올라와 기어다닌다. 작은 오르막길도 올라갈 수 있을 정도.
71,백련어,강/민물,R1,★☆☆☆☆,1,4,3,20,20,백련어는 하얀 잉어라는 뜻이다. 레몬즙을 살짝 뿌려 구워먹으면 별미.
72,틸라피아,강/민물,R1,★☆☆☆☆,1,4,3,20,20,"역돔이라는 별칭이 있으나, 도미와 헷갈리게 하여 비싸게 팔아먹으려는 상인들의 상술이다. 속지 말자."
73,첨예어,강/민물,R1,★☆☆☆☆,1,4,3,20,20,손가락이 베일 정도로 날카로운 비늘을 가진 물고기. 어떤 세계에서는 이 비늘을 무기의 날을 세울 때 사용한다는 듯.
18,엔젤피쉬,강/민물,R2,★★☆☆☆,1,8,8,70,15,직각삼각형에서 빗변의 길이의 제곱은 나머지 두 변의 길이를 제곱한 뒤 더한 것과 같다.
19,금박가재,강/민물,R2,★★☆☆☆,1,9,10,8,2,집게발이 금박을 입힌 것처럼 금빛을 띄고 있다고 하여 붙여진 이름. 탱탱한 살이 일품이다.
20,꽃잎 메기,강/민물,R2,★★☆☆☆,1,13,8,60,20,위에서 보면 마치 꽃잎을 닮은 형태를 띄고 있다. 정면에서 본다면... 자세한 설명은 생략한다.
21,아로와나,강/민물,R2,★★☆☆☆,2,10,10,100,30,대체 어떻게 민물에서 살고 있는 건지 의문이 들 정도로 크다.
22,산천어,강/민물,R2,★★☆☆☆,1,7,10,60,10,"뭐? 2급수? 안 해, 안 해. 나 죽어버릴거야."
