레시피ID,이름,분류,등급,필요시설,재료,결과,효과,지속,숙련도,태그,공개,판매가
cook_boiled_egg,삶은 달걀,간단요리,R1,공용 주방,"달걀x1, 물x1",삶은 달걀x1,HP [1D] 회복,즉시,1,"피로도,회복",TRUE,20
cook_milk_porridge,우유죽,간단요리,R1,공용 주방,"우유x1, 밀x1, 물x1",우유죽x1,HP [2D] 회복,즉시,1,"피로도,회복",TRUE,45
cook_vegetable_soup,채소 수프,간단요리,R1,공용 주방,"채소x1, 물x1, 소금x1",채소 수프x1,MP [2D]+1 회복,즉시,2,"피로도,회복",TRUE,60
cook_fruit_milk,과일 우유,간단요리,R1,공용 주방,"과일x1, 우유x1",과일 우유x1,30분 동안 채집 행운 +2,30분,2,"생활행운,채집",TRUE,30
cook_flatbread,납작빵,간단요리,R1,공용 주방,"밀x1, 물x1, 소금x1",납작빵x1,HP [2D]+2 회복,즉시,2,"피로도,회복",TRUE,70
basic_salted_bread,소금빵,기본요리,R0,공용 주방,"밀x1, 소금x1, 물x1",소금빵,HP [2D]+2 회복,즉시,5,"피로도,빵",TRUE,70
basic_vegetable_soup,채소 수프,기본요리,R0,공용 주방,"채소x1, 물x1, 소금x1",채소 수프,MP [2D]+1 회복,즉시,6,"피로도,수프",TRUE,60
basic_omelet,폭신한 오믈렛,기본요리,R1,공용 주방,"달걀x1, 우유x1, 소금x1",폭신한 오믈렛,세션 버프: 최대 HP +2,세션,8,"세션,HP",TRUE,75
basic_cheese_toast,치즈 토스트,기본요리,R1,공용 주방,"밀x1, 치즈x1",치즈 토스트,세션 버프: 정신 판정 +1,세션,8,"세션,판정",TRUE,100
basic_meat_skewer,소금 고기꼬치,기본요리,R1,공용 주방,"고기x1, 소금x1",소금 고기꼬치,세션 버프: 공격 대미지 +1,세션,8,"세션,공격",TRUE,60
basic_fruit_milk,과일 우유,기본요리,R1,공용 주방,"과일x1, 우유x1",과일 우유,MP [1D]+1 회복,즉시,7,"피로도,음료",TRUE,25
basic_meat_soup,고기 수프,기본요리,R1,공용 주방,"고기x1, 채소x1, 물x1",고기 수프,HP [2D] 회복,즉시,8,"피로도,수프",TRUE,35
basic_green_salad,상큼한 샐러드,생활요리,R1,공용 주방,"채소x1, 과일x1, 소금x1",상큼한 샐러드,채집 행운 +1,30분,8,"채집,행운",TRUE,70
basic_spiced_meat,향신료 구이,기본요리,R1,공용 주방,"고기x1, 향신료x1, 소금x1",향신료 구이,세션 버프: 공격 대미지 +1,세션,10,"세션,공격",TRUE,130
basic_cheese_omelet,치즈 오믈렛,기본요리,R2,공용 주방,"달걀x1, 우유x1, 치즈x1",치즈 오믈렛,세션 버프: 최대 HP +2,세션,12,"세션,HP",TRUE,100
basic_fruit_tart,과일 타르트,기본요리,R2,공용 주방,"밀x1, 과일x1, 우유x1",과일 타르트,MP [2D]+1 회복,즉시,12,"피로도,디저트",TRUE,50
basic_cheese_soup,치즈 채소 수프,기본요리,R2,공용 주방,"채소x1, 치즈x1, 물x1",치즈 채소 수프,세션 버프: 물리 방어력 +1,세션,12,"세션,방어",TRUE,95
basic_hunter_stew,사냥꾼 스튜,기본요리,R2,공용 주방,"고기x1, 채소x1, 향신료x1",사냥꾼 스튜,세션 버프: 공격 대미지 +1,세션,14,"세션,복합",TRUE,100
basic_fisher_snack,낚시꾼 간식,생활요리,R2,공용 주방,"밀x1, 치즈x1, 소금x1",낚시꾼 간식,낚시 행운 +2,30분,14,"낚시,행운",TRUE,140
basic_gatherer_drink,약초꾼 음료,생활요리,R2,공용 주방,"과일x1, 물x1, 향신료x1",약초꾼 음료,채집 행운 +2,30분,14,"채집,행운",TRUE,90
basic_lucky_plate,작은 행운 정식,생활요리,R2,공용 주방,"달걀x1, 채소x1, 향신료x1",작은 행운 정식,낚시·채집 행운 +1,30분,14,"생활,행운",TRUE,100
basic_hearty_breakfast,든든한 아침식사,기본요리,R2,공용 주방,"달걀x1, 고기x1, 밀x1",든든한 아침식사,HP [2D]+1 회복,즉시,15,"피로도,식사",TRUE,50
cook_cheese_bread,치즈빵,간단요리,R1,공용 주방,"밀x1, 치즈x1, 물x1",치즈빵x1,HP [3D] 회복,즉시,3,"피로도,회복",TRUE,100
cook_herb_salad,산나물 샐러드,채집요리,R1,공용 주방,"산나물x1, 채소x1, 소금x1",산나물 샐러드x1,30분 동안 채집 행운 +3,30분,3,"생활행운,채집",TRUE,65
cook_bellflower_tea,도라지 차,채집요리,R1,공용 주방,"도라지x1, 물x1",도라지 차x1,세션 버프: 감지 판정 +1,다음 세션,3,"세션버프,판정",TRUE,15
cook_deodeok_grill,더덕구이,채집요리,R1,공용 주방,"더덕x1, 소금x1",더덕구이x1,MP [2D] 회복,즉시,3,"피로도,회복",TRUE,45
cook_strawberry_jam,산딸기 잼,채집요리,R1,공용 주방,"산딸기x2, 물x1",산딸기 잼x1,30분 동안 채집 행운 +3,30분,4,"생활행운,채집",TRUE,20
cook_licorice_milk,감초 우유,채집요리,R1,공용 주방,"감초x1, 우유x1",감초 우유x1,MP [1D] 회복,즉시,4,"피로도,회복",TRUE,20
cook_mistletoe_tea,겨우살이 차,채집요리,R1,공용 주방,"겨우살이x1, 물x1",겨우살이 차x1,세션 버프: 정신 판정 +1,다음 세션,4,"세션버프,판정",TRUE,10
cook_bass_grill,소금 배스구이,생선요리,R1,공용 주방,"배스x1, 소금x1",소금 배스구이x1,30분 동안 낚시 행운 +3,30분,3,"생활행운,낚시",TRUE,50
cook_carp_soup,잉어 맑은탕,생선요리,R1,공용 주방,"잉어x1, 물x1, 소금x1",잉어 맑은탕x1,HP [2D]+1 회복,즉시,3,"피로도,회복",TRUE,50
cook_mudfish_soup,미꾸라지탕,생선요리,R1,공용 주방,"미꾸라지x1, 채소x1, 물x1",미꾸라지탕x1,세션 버프: 근력 판정 +1,다음 세션,4,"세션버프,판정",TRUE,30
cook_trout_roast,송어구이,생선요리,R1,공용 주방,"송어x1, 소금x1",송어구이x1,HP [2D] 회복,즉시,4,"피로도,회복",TRUE,45
cook_salmon_steak,연어 스테이크,생선요리,R1,공용 주방,"연어x1, 소금x1, 향신료x1",연어 스테이크x1,30분 동안 낚시 행운 +5,30분,6,"생활행운,낚시",TRUE,120
cook_tilapia_wrap,틸라피아 랩,생선요리,R1,공용 주방,"틸라피아x1, 밀x1, 채소x1",틸라피아 랩x1,HP [2D] 회복,즉시,5,"피로도,회복",TRUE,45
cook_hot_spring_fish,유황어 온천찜,생선요리,R2,조리대,"유황어x1, 물x1, 소금x1",유황어 온천찜x1,HP [2D]+1 회복,즉시,8,"피로도,회복",TRUE,60
cook_crayfish_cheese,금박가재 치즈구이,생선요리,R2,조리대,"금박가재x1, 치즈x1, 향신료x1",금박가재 치즈구이x1,세션 버프: 공격 대미지 +1,다음 세션,8,"세션버프,복합",TRUE,160
cook_flower_catfish_stew,꽃잎 메기 스튜,생선요리,R2,조리대,"꽃잎 메기x1, 채소x1, 물x1",꽃잎 메기 스튜x1,세션 버프: 감지 판정 +1,다음 세션,8,"세션버프,복합",TRUE,45
cook_angel_fish_meuniere,엔젤피쉬 뫼니에르,생선요리,R2,조리대,"엔젤피쉬x1, 밀x1, 우유x1",엔젤피쉬 뫼니에르x1,세션 버프: 최대 MP +1,다음 세션,9,"세션버프,복합",TRUE,60
cook_sansam_chicken,산삼 백숙,채집요리,R2,조리대,"산삼x1, 고기x1, 물x1",산삼 백숙x1,"HP [1D] 회복, MP [1D] 회복",즉시,9,"피로도,회복",TRUE,40
cook_cordyceps_soup,동충하초 수프,채집요리,R2,조리대,"동충하초x1, 물x1, 향신료x1",동충하초 수프x1,세션 버프: 최대 HP +2,다음 세션,10,"세션버프,복합",TRUE,100
cook_luminous_moss_jelly,발광이끼 젤리,채집요리,R2,조리대,"발광이끼x1, 과일x1, 물x1",발광이끼 젤리x1,30분 동안 채집 행운 +5,30분,10,"생활행운,채집",TRUE,35
cook_reishi_hotpot,영지버섯 전골,채집요리,R2,조리대,"영지버섯x1, 채소x1, 물x1",영지버섯 전골x1,MP [1D]+1 회복,즉시,8,"피로도,회복",TRUE,25
cook_rockfruit_pie,락 후르츠 파이,채집요리,R2,조리대,"락 후르츠x1, 밀x1, 우유x1",락 후르츠 파이x1,세션 버프: 최대 HP +2,다음 세션,10,"세션버프,HP",TRUE,60
cook_heaven_berry_tart,헤븐 베리 타르트,고급요리,R3,주방,"헤븐 베리x1, 밀x1, 우유x1, 치즈x1",헤븐 베리 타르트x1,"HP [2D]+2 회복, MP [2D]+2 회복",즉시,14,"피로도,회복",TRUE,135
cook_goliath_fish_platter,골리앗피쉬 플래터,고급요리,R3,주방,"골리앗피쉬x1, 채소x1, 소금x1, 향신료x1",골리앗피쉬 플래터x1,세션 버프: 공격 대미지 +1,다음 세션,15,"세션버프,복합",TRUE,175
cook_adventurer_stew,모험가 스튜,고급요리,R3,주방,"고기x1, 채소x1, 물x1, 산나물x1, 배스x1",모험가 스튜x1,세션 버프: 원하는 능력 판정 +1,다음 세션,15,"세션버프,판정",TRUE,55
