스킬ID	이름	계열	직업/종류	타입	등급	설명	효과키	효과값	소모품	공개유무	활성
life_fishing_common_exp_mult	숙련도 배율 증가	생활	낚시	특성	일반	낚시 숙련도 배율이 5% 증가한다.	exp_mult_pct	5		TRUE	TRUE
life_fishing_common_rank0_down	운의 축적 1	생활	낚시	특성	일반	0성 등장 확률이 0.5% 감소한다. (최대 5%)	rank0_down_pct	0.5		TRUE	TRUE
life_fishing_common_rank1_down	운의 축적 2	생활	낚시	특성	일반	1성 등장 확률이 1% 감소한다. (최대 20%)	rank1_down_pct	1		TRUE	TRUE
life_fishing_common_rank2_down	운의 축적 3	생활	낚시	특성	일반	2성 등장 확률이 1% 감소한다. (최대 20%)	rank2_down_pct	1		TRUE	TRUE
life_fishing_common_tool_efficiency	낚싯대 숙련	생활	낚시	특성	일반	낚싯대 효율 공식이 20% 개선된다.	tool_efficiency_pct	20		TRUE	TRUE
life_fishing_common_time_reduce	솜씨 발휘	생활	낚시	특성	일반	낚시 시간 -1초	time_reduce_sec	1		TRUE	TRUE
life_fishing_rare_exp_mult	숙련도 배율 증가	생활	낚시	특성	레어	낚시 숙련도 배율이 10% 증가한다.	exp_mult_pct	10		TRUE	TRUE
life_fishing_rare_rank0_down	운의 축적 1	생활	낚시	특성	레어	0성 등장 확률이 1% 감소한다. (최대 5%)	rank0_down_pct	1		TRUE	TRUE
life_fishing_rare_rank1_down	운의 축적 2	생활	낚시	특성	레어	1성 등장 확률이 2% 감소한다. (최대 20%)	rank1_down_pct	2		TRUE	TRUE
life_fishing_rare_rank2_down	운의 축적 3	생활	낚시	특성	레어	2성 등장 확률이 2% 감소한다. (최대 20%)	rank2_down_pct	2		TRUE	TRUE
life_fishing_rare_tool_efficiency	낚싯대 숙련	생활	낚시	특성	레어	낚싯대 효율 공식이 40% 개선된다.	tool_efficiency_pct	40		TRUE	TRUE
life_fishing_rare_time_reduce	솜씨 발휘	생활	낚시	특성	레어	낚시 시간 -2초	time_reduce_sec	2		TRUE	TRUE
life_fishing_rare_weight_bonus	효율적인 정리	생활	낚시	특성	레어	최대 중량 +1	bag_weight_bonus	1		TRUE	TRUE
life_fishing_rare_luck	행운아	생활	낚시	특성	레어	낚시 행운 공식이 1% 개선된다.	luck_formula_pct	1		TRUE	TRUE
life_fishing_unique_exp_mult	숙련도 배율 증가	생활	낚시	특성	유니크	낚시 숙련도 배율이 15% 증가한다.	exp_mult_pct	15		TRUE	TRUE
life_fishing_unique_rank0_down	운의 축적 1	생활	낚시	특성	유니크	0성 등장 확률이 1.5% 감소한다. (최대 5%)	rank0_down_pct	1.5		TRUE	TRUE
life_fishing_unique_rank1_down	운의 축적 2	생활	낚시	특성	유니크	1성 등장 확률이 3% 감소한다. (최대 20%)	rank1_down_pct	3		TRUE	TRUE
life_fishing_unique_rank2_down	운의 축적 3	생활	낚시	특성	유니크	2성 등장 확률이 3% 감소한다. (최대 20%)	rank2_down_pct	3		TRUE	TRUE
life_fishing_unique_tool_efficiency	낚싯대 숙련	생활	낚시	특성	유니크	낚싯대 효율 공식이 60% 개선된다.	tool_efficiency_pct	60		TRUE	TRUE
life_fishing_unique_time_reduce	솜씨 발휘	생활	낚시	특성	유니크	낚시 시간 -3초	time_reduce_sec	3		TRUE	TRUE
life_fishing_unique_weight_bonus	효율적인 정리	생활	낚시	특성	유니크	최대 중량 +2	bag_weight_bonus	2		TRUE	TRUE
